intent,example
open_chrome,open chrome now immediately
open_chrome,open chrome now please
open_chrome,Can you open chrome today
open_chrome,Can you open chrome now
open_chrome,I want to open chrome system
open_chrome,I want to open chrome for me
open_chrome,open chrome now
open_chrome,I want to open chrome today
open_chrome,open chrome now quickly
open_chrome,open chrome please mode
open_chrome,I want to open chrome if possible
open_chrome,open chrome now hands free
open_chrome,Can you open chrome
open_chrome,open chrome please hands free
open_chrome,open chrome now right away
open_chrome,I want to open chrome mode
open_chrome,Can you open chrome for me
open_chrome,open chrome please immediately
open_chrome,Can you open chrome start it
open_chrome,I want to open chrome
open_chrome,open chrome please if possible
open_chrome,I want to open chrome quickly
open_chrome,open chrome now now
open_chrome,open chrome now if possible
open_chrome,open chrome please function
open_chrome,Can you open chrome if possible
open_chrome,I want to open chrome now
open_chrome,Can you open chrome please
open_chrome,Can you open chrome hands free
open_chrome,Can you open chrome activate it
open_chrome,open chrome please quickly
open_chrome,open chrome please today
open_chrome,open chrome now AI gestures
open_chrome,open chrome now mode
open_chrome,open chrome please activate it
open_chrome,open chrome now system
open_chrome,open chrome please for me
open_chrome,open chrome please
play_song,play song please now
play_song,play song please activate it
play_song,I want to play song system
play_song,play song please quickly
play_song,Can you play song system
play_song,play song please start it
play_song,play song now
play_song,Can you play song now
play_song,play song please AI gestures
play_song,play song please immediately
play_song,play song now now
play_song,play song now for me
play_song,Can you play song quickly
play_song,I want to play song
play_song,play song now hands free
play_song,I want to play song please
play_song,play song please function
play_song,play song now quickly
play_song,play song now if possible
play_song,Can you play song for me
play_song,I want to play song function
play_song,I want to play song immediately
play_song,I want to play song today
play_song,play song please if possible
play_song,play song please right away
play_song,Can you play song immediately
play_song,Can you play song right away
play_song,play song now today
play_song,play song please
play_song,I want to play song mode
play_song,I want to play song right away
play_song,play song now activate it
play_song,play song now function
play_song,Can you play song activate it
play_song,I want to play song quickly
play_song,Can you play song today
play_song,play song now right away
play_song,play song now AI gestures
play_song,I want to play song start it
play_song,I want to play song AI gestures
play_song,Can you play song if possible
play_song,Can you play song please
play_song,play song now immediately
play_song,I want to play song hands free
play_song,I want to play song if possible
play_song,Can you play song
play_song,Can you play song function
play_song,play song please hands free
open_youtube,I want to open youtube right away
open_youtube,open youtube please system
open_youtube,open youtube now start it
open_youtube,Can you open youtube AI gestures
