text,intent
do you know the time,show_time
what is the tiem,show_time
what is the time,show_time
can you tell time,show_time
what's the clock showing,show_time
say me the tiem pls,show_time
clock now,show_time
plz say the tiem,show_time
time now pls,show_time
plz say the tiem pls,show_time
what's the clock showing pls,show_time
say me the time,show_time
clock now,show_time
say me the time,show_time
do you know the time,show_time
what's the clock showing,show_time
what's the clock showing pls,show_time
what is the tiem,show_time
what's the clock showing pls,show_time
tiem now,show_time
can you tell time,show_time
what's the clock showing,show_time
can you tell time,show_time
check time please,show_time
tell me the current tiem pls,show_time
what is the time,show_time
time now,show_time
clock now,show_time
plz say the time,show_time
check time please,show_time
what's the clock showing,show_time
do you know the tiem,show_time
what's the clock showing,show_time
tell me the current time,show_time
what's the clock showing,show_time
clock now,show_time
check time please,show_time
clock now,show_time
time now,show_time
what's the clock showing,show_time
can you tell time,show_time
tiem now,show_time
what is the time,show_time
what is the time,show_time
what's the clock showing,show_time
say me the time,show_time
check time please,show_time
clock now,show_time
check time please,show_time
plz say the time,show_time
check tiem please,show_time
check time please,show_time
plz say the time,show_time
tell me the current time,show_time
do you know the time,show_time
what's the clock showing,show_time
can you tell time,show_time
can you tell tiem,show_time
do you know the time,show_time
tell me the current time,show_time
what's the clock showing,show_time
what's the clock showing,show_time
clock now,show_time
time now pls,show_time
do you know the tiem,show_time
can you tell time,show_time
what is the tiem,show_time
clock now,show_time
do you know the time,show_time
what's the clock showing pls,show_time
say me the tiem,show_time
clock now,show_time
tell me the current time,show_time
can you tell time,show_time
clock now,show_time
can you tell time,show_time
do you know the time,show_time
time now,show_time
can you tell time,show_time
check time please,show_time
can you tell time,show_time
say me the time,show_time
say me the time pls,show_time
plz say the time,show_time
plz say the time,show_time
what is the time,show_time
can you tell tiem,show_time
can you tell time,show_time
what's the clock showing,show_time
plz say the time,show_time
plz say the tiem,show_time
do you know the time,show_time
check time please,show_time
what is the tiem pls,show_time
check time please,show_time
check tiem please,show_time
clock now,show_time
time now,show_time
time now,show_time
time now,show_time
say me the time,show_time
clock now,show_time
do you know the time,show_time
say me the time,show_time
say me the time,show_time
do you know the tiem,show_time
check time please pls,show_time
time now,show_time
do you know the time pls,show_time
do you know the time pls,show_time
do you know the time,show_time
clock now,show_time
clock now,show_time
plz say the tiem,show_time
check time please,show_time
what's the clock showing,show_time
tell me the current tiem,show_time
time now,show_time
check time please pls,show_time
clock now,show_time
plz say the time,show_time
plz say the time,show_time
what's the clock showing,show_time
check time please,show_time
check time please,show_time
what's the clock showing,show_time
what's the clock showing,show_time
clock now pls,show_time
plz say the time,show_time
check time please,show_time
can you tell time,show_time
tell me the current tiem pls,show_time
can you tell time,show_time
clock now,show_time
check time please,show_time
can you tell tiem,show_time
say me the time,show_time
tell me the current time,show_time
clock now,show_time
do you know the time,show_time
do you know the time,show_time
tiem now,show_time
plz say the time,show_time
check time please pls,show_time
do you know the time,show_time
do you know the time,show_time
what's the clock showing,show_time
say me the time,show_time
say me the tiem,show_time
clock now,show_time
say me the time,show_time
tell me the current time,show_time
what is the tiem,show_time
tell me the current time pls,show_time
tell me the current time pls,show_time
clock now,show_time
tiem now,show_time
say me the time pls,show_time
say me the time,show_time
plz say the time pls,show_time
what is the time,show_time
tell me the current time,show_time
plz say the tiem,show_time
say me the time,show_time
tell me the current tiem,show_time
clock now,show_time
clock now,show_time
tiem now,show_time
check time please,show_time
what is the time,show_time
can you tell time,show_time
can you tell time,show_time
what is the time,show_time
time now pls,show_time
tell me the current time,show_time
say me the tiem,show_time
check time please,show_time
clock now,show_time
clock now,show_time
what's the clock showing,show_time
time now,show_time
tell me the current time,show_time
check time please,show_time
time now,show_time
time now,show_time
clock now,show_time
tell me the current tiem,show_time
clock now,show_time
time now,show_time
say me the time,show_time
what's the clock showing,show_time
clock now,show_time
what's the clock showing,show_time
clock now,show_time
clock now pls,show_time
do you know the time,show_time
tell me the current time,show_time
say me the time,show_time
check time please,show_time
tell me the current time,show_time
tell me the current time,show_time
check time please,show_time
check time please,show_time
tell me the current time,show_time
clock now,show_time
do you know the time,show_time
can you tell tiem,show_time
what's the clock showing,show_time
what is the time,show_time
say me the time,show_time
what is the time,show_time
plz say the time,show_time
clock now,show_time
can you tell time,show_time
what's the clock showing,show_time
say me the time,show_time
can you tell time,show_time
say me the time,show_time
do you know the time,show_time
plz say the tiem,show_time
do you know the tiem,show_time
say me the tiem,show_time
can you tell time,show_time
what's the clock showing,show_time
say me the time,show_time
check tiem please,show_time
clock now,show_time
tell me the current time,show_time
tell me the current time,show_time
plz say the time,show_time
say me the tiem,show_time
say me the time,show_time
what's the clock showing,show_time
tell me the current time,show_time
tell me the current tiem,show_time
say me the time,show_time
say me the tiem,show_time
what is the time,show_time
plz say the time,show_time
what's the clock showing,show_time
what's the clock showing pls,show_time
time now,show_time
do you know the time,show_time
tell me the current time,show_time
what's the clock showing pls,show_time
say me the time,show_time
tell me the current time pls,show_time
plz say the tiem,show_time
time now,show_time
plz say the time,show_time
what's the clock showing,show_time
what's the clock showing,show_time
what's the clock showing,show_time
can you tell time,show_time
check time please,show_time
can you tell time,show_time
check time please,show_time
can you tell time,show_time
can you tell time,show_time
can you tell time,show_time
what's the clock showing,show_time
time now,show_time
tell me the current time,show_time
plz say the time,show_time
plz say the time,show_time
plz say the tiem,show_time
do you know the tiem,show_time
say me the time,show_time
what is the time,show_time
can you tell time,show_time
can you tell time,show_time
can you tell time,show_time
plz say the time,show_time
plz say the time,show_time
plz say the time,show_time
say me the time,show_time
time now,show_time
clock now,show_time
time now,show_time
