id,timestamp,intent,user_utterance,assistant_response,language,locale,channel,device,entities,slots,sentiment,context,action,confirmation_required,follow_up_required,paraphrase_group
9929,2025-08-03T02:53:24.874968,music,Play some jazz music.,Executing 'music' related task: play some jazz music.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,c207d575-3f5a-44f5-b4c7-fcac397707ac
6158,2025-08-03T02:53:24.849364,music,Play some jazz music.,Executing 'music' related task: play some jazz music.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,fca21e1f-c686-416a-8ddb-f2f08c33dea3
3290,2025-08-03T02:53:24.830284,messaging,Read my last message.,Executing 'message' related task: read my last message.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,63bc3234-2237-493f-ab5c-08e6cd3ad883
13325,2025-08-03T06:08:06.938360,open_whatsapp,Launch WhatsApp,Executing 'open_whatsapp' related task: launch whatsapp,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,461ae984-d933-4e9c-8fb6-78b8a3dab59b
5480,2025-08-03T02:53:24.844552,recipe,Show me a recipe for pasta.,Executing 'recipe' related task: show me a recipe for pasta.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,88a1d25c-f96a-45a1-a3c3-b4df874d1b0b
8529,2025-08-03T02:53:24.865600,weather,Give me the forecast for next week.,Executing 'weather' related task: give me the forecast for next week.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,ce058eec-5d2a-4f34-a46d-bc01ea31452c
2911,2025-08-03T02:53:24.827765,translation,What’s 'thank you' in Japanese?,Executing 'translate' related task: what’s 'thank you' in japanese?,en,en-US,voice,phone,{},{},neutral,idle,translate_text,False,False,bfb4ad60-4f81-4119-be80-39bf2ba94892
13221,2025-08-03T06:08:06.937461,open_wikipedia,Look up Python in Wikipedia,Executing 'open_wikipedia' related task: look up python in wikipedia,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,2ec1e57b-7507-4256-ad00-774653a7b337
2338,2025-08-03T02:53:24.823973,reminder,Remind me to call mom at 5 PM.,Executing 'reminder' related task: remind me to call mom at 5 pm.,en,en-US,voice,phone,{},{},neutral,idle,create_reminder,False,False,c1e58187-1c3c-4789-a4d6-36dd5687e27e
9142,2025-08-03T02:53:24.869906,email,Draft a reply to that email.,Executing 'email' related task: draft a reply to that email.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,3e22dbc2-464f-4f4f-9816-6a894fc2bc43
3939,2025-08-03T02:53:24.834670,music,Pause the music.,Executing 'music' related task: pause the music.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,c07ed0f7-596b-497a-96fa-97c7ce4c7532
9895,2025-08-03T02:53:24.874835,email,Check my inbox.,Executing 'email' related task: check my inbox.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,8c59c2ae-901b-4a55-b23a-02d2344844d4
3223,2025-08-03T02:53:24.829839,email,Send an email to John.,Executing 'email' related task: send an email to john.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,f23b888e-a3f9-4223-b73b-dd704f1bf06a
11555,2025-08-03T05:52:36.000745,podcast,Latest podcast episodes,Executing 'podcast' related task: latest podcast episodes,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,ca30caee-c03c-47ef-b012-860aeba3076b
9070,2025-08-03T02:53:24.869399,messaging,Send a message to Mike.,Executing 'message' related task: send a message to mike.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,7018fa08-53e7-41a8-afaa-619de1eb94eb
4768,2025-08-03T02:53:24.839874,navigate,Navigate to the nearest gas station.,Executing 'navigate' related task: navigate to the nearest gas station.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,6481f155-3f81-4334-a7a6-b29d3a3a0c11
3077,2025-08-03T02:53:24.828846,call,Call Sarah.,Executing 'call' related task: call sarah.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,6dce78c7-2a08-40f9-bca2-95c405f7b614
6572,2025-08-03T02:53:24.852257,navigate,Find a route to the hotel.,Executing 'navigate' related task: find a route to the hotel.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,8b3affc2-f68f-4887-8000-70e01e5f4cf8
8359,2025-08-03T02:53:24.864388,search,Search for Python tutorials.,Executing 'search' related task: search for python tutorials.,en,en-US,voice,phone,{},{},neutral,idle,generic_action,False,False,80e4bdd6-f4fe-448c-874a-eb863b97e668
